,label,nums
0,80,178
1,82,168
2,78,163
3,79,150
4,81,141
5,83,130
6,77,127
7,84,122
8,76,116
9,86,94
10,85,80
11,75,75
12,88,74
13,90,64
14,94,64
15,87,62
16,91,60
17,98,59
18,92,58
19,73,52
20,96,51
21,95,51
22,106,49
23,74,48
24,89,48
25,110,48
26,99,47
27,93,47
28,100,46
29,104,45
30,105,44
31,109,43
32,102,38
33,97,38
34,112,36
35,103,35
36,71,34
37,116,31
38,101,31
39,113,30
40,115,30
41,111,30
42,123,29
43,107,28
44,72,28
45,119,27
46,108,26
47,124,23
48,114,23
49,118,23
50,127,22
51,121,22
52,117,21
53,130,20
54,70,20
55,69,19
56,125,19
57,122,18
58,68,18
59,120,18
60,128,16
61,126,15
62,66,14
63,67,14
64,129,12
65,65,12
66,64,11
67,133,10
68,134,10
69,63,9
70,138,9
71,131,9
72,137,8
73,62,7
74,61,7
75,136,6
76,141,6
77,140,5
78,146,5
79,50,5
80,139,5
81,142,5
82,143,5
83,52,5
84,132,5
85,144,4
86,56,4
87,135,4
88,145,4
89,53,3
90,60,3
91,59,3
92,54,3
93,57,3
94,51,3
95,58,3
96,151,3
97,148,2
98,149,2
99,150,2
100,156,2
101,157,2
102,0,2
103,41,2
104,1,1
105,55,1
106,8,1
107,28,1
108,153,1
109,31,1
110,38,1
111,39,1
112,147,1
113,42,1
114,43,1
115,44,1
116,45,1
117,46,1
118,47,1
119,49,1
120,158,1
